Obs,Segment,Stream Type,Bedform,Ph2SedReg,Class,S,VC,VC_rat,ER,WtoD
1,23_T2.01-,F3,Plane Bed,FSTCD,4,1.18315196,6.936170213,1.493014416,1.212765932,35.60606003
2,23_T2.02-,D3,Plane Bed,FSTCD,4,1.12612617,4.645748988,0.522066043,2.98582983,54.88889313
3,23_T2.03A,C3,Riffle Pool,FSTCD,4,1.5,8.898776418,1.460701593,4.449388027,64.2142868
4,23_T2.03B,F3,Plane Bed,UST,3,1.8,6.092124814,4.906263231,1.337295651,39.58823776
5,23_T2.03C,A3b,Cascade,TR,1,2.2,1.24170362,0.197365523,1.4,12
6,23_T2.03D,F3b,Plane Bed,FSTCD,4,2.8,6.291390728,0.211111111,1.158940315,31.78947449
7,23_T2.04A,F3,Plane Bed,FSTCD,4,1.9,29.8013245,0.503110867,1.158940315,31.78947449
8,23_T2.04B,D3b,Plane Bed,DEP,6,2.1,59.23411009,1.404421642,99,99
9,23_T2.04C,F2b,Plane Bed,FSTCD,4,3.3,42.17687075,14.76190476,1.190476179,30.15384483
10,23_T2.05-,C2b,Step Pool,CST,2,3.741935492,2.857142857,0.482625483,2.689075708,23.8955822
